,Diện tích sử dụng,Diện tích đất,Phòng ngủ,Nhà tắm,Pháp lý,Ngày đăng,Mã BĐS,address,price
0,256 m2,64 m2 (4x16),4.0,5.0,Sổ hồng,18/07/2023,22262962," Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, TPHCM",5 tỷ 100 triệu
1,40 m2,,1.0,1.0,Không xác định,18/07/2023,22252061," Đường số 36, Phường Tân Quy, Quận 7, TPHCM",5 triệu
2,220 m2,110 m2 (6x19),8.0,5.0,Sổ hồng,18/07/2023,22262331," Man Thiện, Phường Tăng Nhơn Phú A, Quận 9 (TP. Thủ Đức), TPHCM",15 tỷ 990 triệu
3,54 m2,,2.0,2.0,Sổ đỏ,18/07/2023,22225157," Kim Đồng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",630 triệu
4,,"105,1 m2 (6x25)",,8.0,Sổ hồng,18/07/2023,22090708," Âu Cơ, Phường 14, Quận Tân Bình, TPHCM",40 tỷ
5,,270 m2 (30x9),,4.0,Sổ hồng,18/07/2023,22070048," Đồng Đen, Phường 11, Quận Tân Bình, TPHCM",77 tỷ
6,110 m2,"110 m2 (4,5x22)",3.0,1.0,Sổ hồng,18/07/2023,22260057," Cầu xây 2, Phường Tân Phú, Quận 9 (TP. Thủ Đức), TPHCM",8 tỷ 500 triệu
7,100 m2,,,,Sổ hồng,18/07/2023,22259152," Lê Văn Việt, Phường Tân Phú, Quận 9 (TP. Thủ Đức), TPHCM",14 tỷ 990 triệu
8,100 m2,"85 m2 (6,1x13)",3.0,2.0,Sổ hồng,18/07/2023,22224919," Cầu xây, Phường Tân Phú, Quận 9 (TP. Thủ Đức), TPHCM",6 tỷ 500 triệu
9,,65 m2 (5x13),3.0,3.0,Sổ hồng,18/07/2023,22162365," Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, TPHCM",1 tỷ 850 triệu
10,,"71 m2 (5x14,4)",3.0,2.0,Sổ hồng,18/07/2023,22160771," Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, TPHCM",1 tỷ 740 triệu
11,,"68 m2 (5x13,6)",3.0,3.0,Sổ hồng,18/07/2023,22162391," Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, TPHCM",1 tỷ 550 triệu
12,,"73 m2 (5x14,6)",4.0,3.0,Sổ hồng,18/07/2023,22165667," Hồ Văn Huê, Phường 9, Quận Phú Nhuận, TPHCM",1 tỷ 480 triệu
13,,70 m2 (5x13),3.0,3.0,Sổ hồng,18/07/2023,22163329," Hoàng Diệu, Phường 13, Quận 4, TPHCM",1 tỷ 450 triệu
14,210 m2,75 m2 (5x15),4.0,4.0,Sổ hồng,18/07/2023,22021865," Nơ Trang Long, Phường 7, Quận Bình Thạnh, TPHCM",1 tỷ 520 triệu
15,210 m2,"76 m2 (5x15,2)",4.0,4.0,Sổ hồng,18/07/2023,22021861," Lê Văn Thọ, Phường 11, Quận Gò Vấp, TPHCM",1 tỷ 260 triệu
16,210 m2,72 m2 (5x13),4.0,4.0,Sổ hồng,18/07/2023,22021904," Đồng Nai, Phường 15, Quận 10, TPHCM",1 tỷ 660 triệu
17,89 m2,36 m2 (4x9),3.0,3.0,Sổ hồng,18/07/2023,22133766," Lê Trọng Tấn, Phường Bình Hưng Hòa, Quận Bình Tân, TPHCM",2 tỷ 180 triệu
18,69 m2,,2.0,2.0,Hợp đồng mua bán,18/07/2023,22260426," Nguyễn Xiển, Phường Long Bình, Quận 9 (TP. Thủ Đức), TPHCM",2 tỷ 500 triệu
19,33 m2,,1.0,1.0,Hợp đồng mua bán,18/07/2023,22255592," Nguyễn Xiển, Phường Long Bình, Quận 9 (TP. Thủ Đức), TPHCM",1 tỷ 400 triệu
20,,"48 m2 (3,5x15)",6.0,4.0,Sổ đỏ,18/07/2023,22240855," Cầu Am, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",6 tỷ 190 triệu
21,60 m2,20 m2 (5x4),3.0,2.0,Sổ hồng,18/07/2023,22252307," Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, TPHCM",1 triệu 190 nghìn
22,55 m2,,2.0,2.0,Sổ hồng,18/07/2023,22204681," Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",920 triệu
23,280 m2,126 m2 (6x21),6.0,4.0,Sổ hồng,18/07/2023,22188904," Phan Đăng Lưu, Phường 3, Quận Bình Thạnh, TPHCM",15 tỷ 800 triệu
24,130 m2,65 m2 (5x13),3.0,3.0,Sổ hồng,18/07/2023,22127438," Phan Xích Long, Phường 7, Quận Phú Nhuận, TPHCM",1 tỷ 420 triệu
25,122 m2,"61 m2 (5x12,2)",3.0,3.0,Sổ hồng,18/07/2023,22127425," Hậu Giang, Phường 11, Quận 6, TPHCM",1 tỷ 350 triệu
26,112 m2,"61 m2 (5x12,2)",3.0,2.0,Sổ hồng,18/07/2023,22127515," Sư Vạn Hạnh, Phường 12, Quận 10, TPHCM",1 tỷ 380 triệu
27,30 m2,"30 m2 (4x7,5)",3.0,4.0,Sổ đỏ,18/07/2023,22249450," Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",4 tỷ 200 triệu
28,,"58 m2 (3,5x17)",2.0,2.0,Sổ hồng,18/07/2023,22209603," Nguyễn An Ninh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",6 tỷ 800 triệu
29,59 m2,,2.0,2.0,Sổ hồng,18/07/2023,22196400," Trường Chinh, Phường 15, Quận Tân Bình, TPHCM",830 triệu
30,60 m2,,2.0,2.0,Sổ hồng,18/07/2023,22171578," Nguyễn Phúc Chu, Phường 15, Quận Tân Bình, TPHCM",920 triệu
31,65 m2,,2.0,2.0,Sổ hồng,18/07/2023,22205965," Âu Cơ, Phường Tân Sơn Nhì, Quận Tân Phú, TPHCM",835 triệu
32,,48 m2 (4x12),3.0,2.0,Sổ hồng,18/07/2023,22241568," Gò Ô Môi, Phường Phú Thuận, Quận 7, TPHCM",1 tỷ 980 triệu
33,87 m2,,3.0,2.0,Sổ hồng,18/07/2023,22248636," Tân Hóa, Phường 14, Quận 6, TPHCM",1 tỷ 850 triệu
34,75 m2,,2.0,2.0,Sổ hồng,18/07/2023,22243683," Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, TPHCM",1 tỷ 250 triệu
35,1500 m2,240 m2 (10x35),10.0,10.0,Sổ hồng,15/07/2023,22156495," Âu Cơ, Phường 14, Quận Tân Bình, TPHCM",87 tỷ
36,1 m2,,3.0,2.0,Sổ hồng,18/07/2023,22259745," Tạ Quang Bửu, Phường 5, Quận 8, TPHCM",1 tỷ 470 triệu
37,74 m2,,2.0,2.0,Sổ hồng,18/07/2023,22238486," Đường D1, Phường 25, Quận Bình Thạnh, TPHCM",1 tỷ 790 triệu
38,,"45,5 m2 (3,8x12)",4.0,3.0,Sổ hồng,18/07/2023,22197158," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",2 tỷ 93 triệu
39,430 m2,,5.0,4.0,Sổ hồng,18/07/2023,22183853," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",24 tỷ 999 triệu
40,84 m2,"42 m2 (4,2x10)",2.0,2.0,Sổ hồng,18/07/2023,22199651," Đoàn Văn Bơ, Phường 13, Quận 4, TPHCM",1 tỷ 483 triệu
41,,62 m2,2.0,2.0,Sổ hồng,18/07/2023,22251898," Nguyễn Sơn, Phường Phú Thạnh, Quận Tân Phú, TPHCM",1 tỷ 330 triệu
42,,"74 m2 (6x12,3)",2.0,2.0,Sổ hồng,18/07/2023,22167132," Cao Thắng, Phường 2, Quận 3, TPHCM",1 tỷ 805 triệu
43,,72 m2 (6x12),8.0,4.0,Sổ hồng,18/07/2023,22170004," Nguyễn Trãi, Phường 2, Quận 5, TPHCM",12 tỷ 400 triệu
44,"94,5 m2",,2.0,2.0,Sổ hồng,18/07/2023,22253784," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",2 tỷ 360 triệu
45,75 m2,,2.0,2.0,Sổ hồng,18/07/2023,22243239," Gò Dưa, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), TPHCM",1 tỷ 250 triệu
46,300 m2,300 m2 (9x30),1.0,1.0,Sổ hồng,18/07/2023,21793154," Bà Huyện Thanh Quan, Phường 7 (Phường Võ Thị Sáu), Quận 3, TPHCM",78 tỷ
47,1 m2,,2.0,2.0,Sổ hồng,18/07/2023,22248500," Nguyễn Xí, Phường 26, Quận Bình Thạnh, TPHCM",2 tỷ 100 triệu
48,,72 m2 (4x18),3.0,3.0,Sổ hồng,18/07/2023,22247267," Hậu Giang, Phường 12, Quận 6, TPHCM",3 tỷ 190 triệu
49,46 m2,,2.0,1.0,Sổ đỏ,18/07/2023,21212485," Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",660 triệu
50,,"47 m2 (3,5x12)",4.0,2.0,Sổ đỏ,18/07/2023,22111492," Võ Thị Sáu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",9 tỷ 800 triệu
